Size	   Bubble Sort	Selection Sort	Insertion Sort
50	90674.83	26598.605	57755.094
100	74827.37	23826.635	139636.67
150	113006.44	45055.754	60419.73
200	143427.69	53321.06	31321.82
250	225152.56	81944.95	46428.58
300	297423.88	104972.76	60422.203
350	412301.1	143661.62	84640.12
400	497273.16	170646.52	99920.18
450	676901.94	228418.86	135880.1
500	766475.5	261247.56	153219.19
550	946191.6	316998.7	190216.69
600	1283137.1	427695.62	259746.23
650	1322975.1	440531.7	265300.2
700	1548835.2	507556.12	309145.3
750	1858999.6	629130.06	380996.4
800	2110849.0	718119.1	436935.84
850	2401438.8	804264.2	484728.8
900	2645394.0	869815.5	521805.44
950	2911723.0	953918.6	583328.6
1000	3143277.8	1035926.2	623667.75
